title,price,location
FAST Dell Latitude  Laptop Intel 4GB 250GB HDD Win10 Pro,$99.99,from United States
Lenovo ThinkPad X280 Laptop i5-8350U 1.7GHz 16GB 256GB SSD win 10P touchscreen,$320.00,from United States
"2021 Dell Inspiron 15.6"" Laptop Intel Celeron N4020,Upto 2.8GHz 16GB RAM&1TB SSD",$359.00 to $579.00,from United States
Dell Latitude 5580 Intel Core i7-7820U 2.90GHZ  4GB RAM 120GB SSD WINDOWS 11 PRO,$280.00,from United States
UMPC GPD POCKET X7−Z8750 model portable personal computer SILVER SSD,$317.00,from Japan
New ListingHP 650 G3 ProBook i5 2.5GHZ 8GB RAM 500GB HDD WiFi+BT   READ,$15.00,from United States
"HP Elite X2 1013 G3 Tablet With Keyboard (I5-8350U 1.70GHz, 16GB RAM,256GB HDD)",$347.69,from United States
New ListingGood Dell E6440 i5-4200M 2.5GHz 4GB 128GB SSD Backlit Keyboard Windows 10,$109.00,from United States
"New ListingHP 250 G6 15.6"" Intel i5 8 GB RAM 240 GB SSD HDMI VGA USB 3.1 WiFi Win 10 Laptop",$239.99,from United States
"New ListingLenovo W520 Laptop Core i7 2820QM, 2.3Ghz, 500Gb HDD 16GB RAM Win 10 Pro 64",$499.99,from United States
"Grade B Dell Chromebook 11 3189 11.6"" 2-in-1 4GB RAM 32GB SSD WiFi Blutth",$85.00,from United States
"New Listing🔥🔥HP Laptop 15 -1 TB hd, i7, 8gb Ram *Excellent Condition*🔥🔥TouchScreen",$465.00,from United States
"Lenovo ThinkPad T560 15.6"" Intel Core i5-6300U 256GB SSD 12GB RAM Win 10 PRO",$285.00,from United States
"New ListingLenovo Ideapad S340 15.6"" Laptop, AMD Ryzen 5 3500U, 128GB SSD",$379.99,from United States
CHEAP LAPTOP HP FAST DUAL CORE 4GB RAM 500 GB HDD DVD RW WINDOWS 10,$131.29,from United Kingdom
"Samsung Chromebook Laptop 11.6"" Laptop Intel Dual-Core 16GB SSD Wifi Webcam Cool",$79.00,from United States
DELL PRECISION 5520 32GB CORE i7-7820HQ NEW 512M.2 NVMe 10/11PRO GRADE B,$540.00,from United States
"New ListingDell XPS 15 9510 Laptop 15.6"" OLED Touch Intel i9-11900H 32GB Memory 1TB SSD","$2,199.00",from United States
"New ListingHP Laptop A6 15-db0015dx | 15"" AMD A6-9225 Radeon R4 2.6GHz 1TB Win 10 RAM 8GB",$224.99,from United States
"New ListingDell Latitude E5470, Intel Core i5-6440 HQ, 8GB RAM, No HDD #2191",$9.99,from United States
"New ListingDell Latitude E6430, INtel Core i7-2540M, 8GB RAM, No HDD #2190",$9.99,from United States
"New ListingHP EliteBook 850 G2 i7-5600U@2.60GHz,8GB RAM,256GB SSD WebCam",$399.99,from United States
"Samsung Galaxy Book Pro 360 15.6"", i7-1165G7, 2.80GHz, 16GB RAM, 1TB SSD, WIN 11",$999.99,from United States
"New ListingDell Latitude E6540, i5-4300M @ 2.6GHz, 8GB ram, 500GB HD, Win10 Pro (4-5-8)",$2.75,from United States
Panasonic Toughbook Touchscreen CF-31 Intel i5 MK1 No Caddy / Hard drive / Pen,$179.99,from United States
New Listing2X Dell Latitude D630  Intel Core  4GB/160GB HDD Windows 7 Pro .,$120.00,from United States
"New ListingDell Vostro 3460, i3-3120M @ 2.5GHz, 4GB ram, 500GB HD, Win10 Pro (4-5-4)",$1.25,from United States
New ListingLot Of 3  Laptops Toshiba Hp For Parts Or Repair Read Add. MAKE OFFER,$80.00,from United States
Acer Nitro 5 AN517-41-R6U1 Gaming ryzen 7 5800H RTX 3060 16GB RAM is 1TB SSD 144Hz,"$1,202.14",from Germany
"Dell Chromebook 3120 11.6"" 11 Laptop Intel Celeron N2840 2.16GH 16GB SSD 4GB RAM",$49.95,from United States
Dell Latitude Laptop 15.4” HD Screen Intel 2.4GHz 4GB 1TB DVD-RW Windows 10 Pro,$174.99,from United States
"HP CHROMEBOOK G3 11.6"" WITH 4GB RAM CHROME OS WEBCAM HDMI NOTEBOOK CHEAP - C",$91.90,from United Kingdom
"Lenovo N22 11.6"" HD Google Chromebook Intel 16GB SSD Wifi Webcam Bluetooth Good",$49.99,from United States
New ListingDell Precision 7510 i7-6820HQ 2.70GHz 16GB 256+500GB Quadro Win10 UTS0053447,$250.00,from United States
"New ListingDell Latitude E7250 Intel i5 2.30GHz 16GB 256GB SSD 12.5"" Windows 11 Pro + Power",$219.00,from United States
New ListingLenovo ThinkPad 1st Gen X1 Yoga 14 Touch  i7-6600U 256GB SSD 16GB RAM Win 11 PRO,$275.00,from United States
New ListingDell Latitude E5420 Core i5-2430M 2.4GHz 8GB RAM 120GB SSD Win 10 PRO w/ Power,$119.99,from United States
"2021 Dell 14"" HD Laptop Intel i3-1005G1 (>i5-8250U),upto 3.4GHz 16GB RAM&1TB SSD",$399.00 to $609.00,from United States
"New ListingDell Vostro 3460, i3-3120M @ 2.5GHz, 4GB ram, 320GB HD, Win10 Pro (4-5-5)",$1.25,from United States
sony vaio duo11 svd1121apjb Core i3 1.80GHz/4GB/SSD64GB Windows 10 Pro,$260.00,from Japan
CHEAP LAPTOP HP INTEL DUAL CORE 4GB RAM 120GB SSD WINDOWS 7 WIFI DVD,$111.60,from United Kingdom
New ListingLot Of 3 Dell Laptops For Parts Or Repair Boot To Bios + Hard Drives  Make OFFER,$151.00,from United States
"NEW Samsung Galaxy Book Pro 360 13.3"" FHD Touch Laptop i7-1165G7 8GB 256GB",$749.98,from United States
"NEW in hand - Samsung Galaxy Book2 Pro 360 15.6"" i7-1260P 16GB 1TB Graphite","$1,699.00",from United States
New Listingpanasonic toughbook cf-c2,$185.00,from United States
"New ListingDell Vostro 3460, i3-3120M @ 2.5GHz, 4GB ram, 500GB HD, Win10 Pro (4-5-2)",$1.25,from United States
"New ListingDell Latitude E5430-14""-Intel Core i5@2.50 GHz-6GB-320 GB HDD-Windows 10 Pro",$129.99,from United States
New ListingDell E6420 XFR  WIN 11 Pro i5-252 2.80 8GB Ram 128 Gb SSD Backlit K  Battery ad,$200.00,from United States
New ListingDell Latitude Business Light Gaming Laptop Win 10 Intel Core i5 16GB RAM 2TB SSD,$359.99 to $759.99,from United States
"New ListingMicrosoft Surface Laptop 4 13.5"" Intel i5 11th Gen 512GB SSD 8GB RAM Ice Blue",$849.99,from United States
New ListingHP elitebook 820 G4,$200.00,from United States
"New ListingDell Latitude 7490 14"" Intel Core i7-8650U 1.9GHz 16GB RAM 500GB SSD",$339.99,from United States
"Lenovo N23 Chromebook Laptop 11.6"" Intel 1.6 GHz 4GB Ram Bluetooth WebCam HDMI",$124.99,from United States
"New ListingLibreboot Thinkpad T400 (SeaBIOS + Grub) 320GB HDD, 4GB RAM, 2.53GHz Latest 2021",$259.00,from United States
New ListingHP elitebook 820 G4,$200.00,from United States
"New ListingLibreboot Thinkpad T400 (SeaBIOS + Grub) 4GB RAM, 2.26GHz, Latest 2021",$199.00,from United States
New Listinghp envy 17.3 touchscreen laptop,$125.00,from United States
"New ListingNew Lenovo ideapad 5 15.6"" FHD i7-1065G7 8GB 256GB SSD Webcam FPReader Windows10",$599.00,from United States
New Listingasus zenbook ux431f,$375.00,from United States
New ListingDell Rugged E6420 XFR Core i5 @ 2.5GHZ  8GB 128 SSD WIN 10 PRO (Non-Touch),$339.99,from United States
New ListingDell Latitude 7390 i7-8650u 16GB 512GB SSD Win 11 FHD Touchscreen,$99.00,from United States
CHEAP FAST Mini Book Atom Laptop 2GB RAM 250GB HDD WINDOWS 7 Webcam Netbook WIFI,$72.20,from United Kingdom
Google Pixelbook i7 COA 512GB SSD 16GB RAM Touchscreen Chromebook TAB - Good,$389.99,from United States
Dell Latitude E6420 Laptop i5 256G ssd 8G W10P WEB cam Microsoft re-furbisher,$175.99,from United States
Dell Laptop Chromebook 11 3189 2 in 1 TouchScreen Intel N3060 32GB 4GB WIFI Good,$84.99,from United States
"BLACK Panasonic Toughbook CF-53  i5 2.5Ghz • 480GB SSD • 16GB • Backlit, Win10",$749.00,from Canada
New ListingDell Latitude 7290 i5-8350U@1.70GHz 16GB RAM 256GB SSD Win 10 | C1217,$249.99,from United States
New ListingLenovo Yoga Intel i7-4600U 2.1GHz 8GB DDR3 128GB SSD Win 10 Pro,$179.99,from United States
"New ListingLenovo ThinkPad L13 Gen 2 13.3"" FHD i5-1135G7 8GB 256GB SSD Webcam Windows10 2Yr",$629.00,from United States
HP Pavilion 15.6 Full-HD TouchScreen Intel Core i7 or i5 512GB SSD 8GB BT Laptop,$536.66 to $626.66,from United States
"New ListingLenovo IdeaPad 3 15"" Laptop, AMD 3250U, 4GB, 128GB SSD, Vega 3 ‎GPU, 81W10094US",$298.95,from United States
"New Listing13.3"" Dell Latitude 3380 Celeron 3865U 1.80GHZ 4GB 500GB HDD Win 10 Pro Notebook",$39.99,from United States
New ListingLenovo ThinkPad E560 i5-6200U @ 2.30GHz 8GB RAM 256GB SSD WIN 10 PRO,$130.00,from United States
"New ListingDell Latitude 15.6"" 32GB RAM 1TB SSD Intel Core i5 Windows 10 Pro",$725.00,from United States
New ListingHP EliteBook X360 1030 G2 i7-7600U 2.80GHz 8GB 512GB SSD WIN10 Webcam Laptop PC,$350.00,from United States
HP Chromebook 14 Laptop Intel 2955U 1.4GHz 4GB DDR3 16GB SSD WIFI Chrome OS HDMI,$69.95,from United States
New ListingDell Latitude 7480 i7-7600U 2.80GHz 8GB 256GB SSD WIN10 Touchscreen Laptop PC,$250.00,from United States
New ListingMSI GS65 Stealth Thin 8RF i7-8750H 32GB RAM 512 SSD 15.6 FHD GTX 1070 144Hz READ,$999.00,from United States
Acer Chromebook Spin 13 Touchscreen Intel i5-8250U 16GB 128GB SSD CP713-1WN-59KY,$284.99,from United States
"New ListingHP Pavilion DV9000 17"" Laptop AMD CPU 2GB RAM 100 + 80GB HDD",$10.00,from United States
"Lenovo ThinkPad L13 Gen 2 13.3"" FHD i7-1165G7 16GB 512GB SSD Webcam FPR 2Yr Wrty",$869.00,from United States
"New ListingLenovo ThinkPad L13 Gen 2 13.3"" FHD i5-1135G7 8GB 512GB SSD Cam FPReader 2Yr Wrt",$739.00,from United States
"New ListingMicrosoft Surface Pro 5 Tablet 12.3"" I5-7300 2.60GHZ 8 GB 256GB SSD Touchscreen",$209.99,from United States
"Used Lenovo Thinkpad T410, Windows 11 Pro 500GB SATA Hard Drive 8GB RAM  Laptop",$137.00,from United States
New ListingHP EliteBook 840 G4 - i7-7500U 2.70GHz - 16GB RAM - 500GB SATA - W10P,$299.99,from United States
"New ListingHP EliteBook 850 G4 15.6"" i5-7300U 2.6GHz 8GB RAM 256GB SSD Win10 UTS0088083",$170.00,from United States
"New ListingHP EliteBook 8770w 17.3"" (1TB HD, i5-3360M CPU @ 2.80GHz, 8GB RAM) Win 10 Pro",$200.00,from United States
New ListingLenovo ThinkPad T14s Gen 2 Laptop - i5 1135G7 - 8GB Ram - 256GB SSD - Warranty,"$1,149.95",from United States
"New ListingHP G70 laptop with Windows 10 17"" screen",$75.00,from United States
"Dell Chromebook 3120 11.6"" Celeron N2840 2.16GHz 4GB RAM 16GB SSD Laptop - Good",$48.99,from United States
FAST CHEAP LAPTOP INTEL CORE i3 8GB RAM 500GB HDD WINDOWS 10 WEBCAM Wi-Fi,$144.42,from United Kingdom
"Dell Chromebook 11 3180 11.6"" Laptop Intel Celeron N3060 2.5GHz 16GB SSD 4GB RAM",$15.99 to $59.99,from United States
BEST LAPTOP CHEAP FAST INTEL Core i5 8GB RAM 500GB HDD WINDOWS 10 WEBCAM Wi-Fi,$183.81,from United Kingdom
"Lenovo ThinkPad T560 15.6"" Intel Core i5-6300U 256GB SSD 12GB RAM Win 10 PRO",$285.00,from United States
"New ListingDell XPS 13 9310 Intel i7-1195G7 16GB 512GB SSD 13.4"" FHD+ Windows 11 Warranty","$1,149.00",from United States
"New ListingLenovo ThinkPad L14 Gen 2 14"" (Intel Core I7-1165G7, 16GB RAM, 476GB SSD) Win 10","$1,000.00",from United States
"Galaxy Book S 13.3"" 2020 FHD 2.8GHz Qualcomm Snapdragon 8cx 8GB 256GB SSD - Good",$439.99,from United States
New ListingDell Precision M4700 Quad i7-3920XM 20GB RAM 512GB SSD Windows 10 Quadro K2000M,$499.95,from United States
"Lenovo Thinkbook 14IIL 14"" FHD i5-1035G1 8GB 512GB SSD FPR Cam Win10Pro Warranty",$599.00,from United States
"Dell Latitude 5490 Laptop 14"" HD Display Intel Core i5 16GB RAM 256GB Windows 10",$399.00,from United States
"14"" Surf Onn LAPTOP 128GB SSD 4GB RAM BRAND NEW CLOSEOUT PRICE",$149.99,from United States
"Dell Latitude 3590 15.6” Laptop i3-6006U, 8GB RAM, 500GB HDD",$149.99,from United States
"New ListingSamsung Galaxy Book Flex2 Alpha 13"" Intel i5-1135G7 8GB 256GB NP730QDA-KB1US #1F",$499.95,from United States
New ListingLENOVO LAPTOP THINKPAD T530 i5  8GB RAM 128GB SSD+500GB HDD GAMING-HOME-WORK,$289.00,from United States
"New ListingDell Latitude 7490 14"" Intel i5-8350U 1.7GHz 16GB DDR4 256GB SSD Fair No COA",$279.99,from United States
New ListingNICE! LENOVO THINKPAD T420 i5 8GB RAM 500GB HDD WINDOWS 10 PRO.,$249.99,from United States
Lenovo ThinkPad T15 2nd Gen 2 15.6 FHD i5-1135G7 16GB 512GB Win10P FPReader Wnty,"$1,099.00",from United States
New ListingPanasonic ToughBook CF-31 MK5 i5-5300U 2.30GHz 8GB 256GB SSD GPS WWLAN 21660hrs,$319.99,from United States
"New ListingMSI Creator 15 A11UE i7-11800H 16GB RAM 512GB SSD 15.6"" 4K UHD OLED RTX 3060","$1,399.99",from United States
"New ListingDell Latitude 5490 14"" Touch Intel Core i5-7300U 2.60GHz 8GB RAM 256GB SSD",$239.99,from United States
New ListingMSI Prestige 15 A12UD-010 15.6 inch Intel Core i7-1260P 1.5-4.7GHz/ 32GB,"$1,999.99",from United States
New ListingDELL LATITUDE 5590 15.6 INTEL i5-8250U 1.60GHz 4GB RAM 120GB SSD WINDOWS 11 PRO,$249.00,from United States
"New ListingDell Latitude E5420 14"" i5 2520M 2.50GHz 4GB 320GB Win 10 Laptop w/ ac adapter",$125.00,from United States
New ListingMicrosoft Surface Book 1703 13.5 3K2K Touch i5-6300U 2.4GHz 8GB 256GB NVMe Win10,$469.99,from United States
New ListingDell Inspiron 3583 Intel i3-8145U-2.1GHz 8GB DDR4 128GB SSD Win 10 Home,$249.99,from United States
"Dell Latitude 5480 14inch(256GB,Intel Core i5-6300U 2.4GHz,8GB RAM)Laptop-Black",$100.00,from United States
"Google Pixelbook Go 13.3"" Not Pink 1.5GHz i7-8500Y 16GB 256GB - Good Condition",$637.99,from United States
"New ListingDell XPS 15 9575 15.6"" UHD 4K Touch I7-8705G 1TB SSD 16GB W10 Radeon RX Vega",$791.99,from United States
"New ListingLenovo ThinkPad P15s Gen 1 Laptop 15.6"" i7-10510U 8GB RAM 256GB SSD Win 10 Pro","$1,149.95",from United States
"New ListingHP ProBook 11 G2 11.6"" Laptop Intel Core i3-6100U 2.30GHz 8GB RAM 128GB SSD #4",$59.99,from United States
Dell Latitude E6540 Quad i7-4810MQ 2.80GHz 16GB 250GB SSD Win 10 Pro 2G HD 8790M,$289.95,from United States
